Short Description,Common Abbr.,Python Var,KEGG ID,Glossary ID,Reference
Rate of Aldolase of GAP and DHAP to FBP,$v_{\mathrm{Aldolase_{FBP}}}$,v_Aldolase_FBP,R01068,30,Saadat2021
Rate of TKase of GAP and F6P to X5P and E4P,$v_{\mathrm{TKase_{E4P}}}$,v_TKase_E4P,R01067,31,Saadat2021
Rate of Aldolase of E4P and DHAP to SBP,$v_{\mathrm{Aldolase_{SBP}}}$,v_Aldolase_SBP,R01829,32,Saadat2021
Rate of TKase of GAP and S7P to X5P and R5P,$v_{\mathrm{TKase_{R5P}}}$,v_TKase_R5P,R01641,33,Saadat2021
Rate of Rpiase,$v_{\mathrm{Rpiase}}$,v_Rpiase,R01056,34,Saadat2021
Rate of RPEase,$v_{\mathrm{RPEase}}$,v_RPEase,R01529,35,Saadat2021
Rate of PGIase,$v_{\mathrm{PGIase}}$,v_PGIase,R00771,36,Saadat2021
Rate of PGMase,$v_{\mathrm{PGMase}}$,v_PGMase,R08639,37,Saadat2021
,$v_{\mathrm{PSI}}$,v_PSI,R09542,38,Saadat2021
Consumption of NADPH,$v_{\mathrm{NADPH}_\mathrm{consumption}}$,v_NADPHcons,,39,Saadat2021
Rate of reduction of Fd by the activity of PSI,$v_{\mathrm{Fd}_{\mathrm{red}}}$,v_Fdred,R09542,40,Saadat2021
,$v_{\mathrm{FdTrReductase}}$,v_FdTrReduc,R09502,41,Saadat2021
,$v_{\mathrm{MDAreduct}}$,v_MDAreduct,R00095,42,Saadat2021
,$v_{\mathrm{GR}}$,v_GR,R00115,43,Saadat2021
Rate of APXase,$v_{\mathrm{APXase}}$,v_APXase,R09540,44,Saadat2021
Mehler reaction lumping the reduction of O2 instead of Fd,$v_{\mathrm{Mehler}}$,v_Mehler,,45,"Saadat2021, Li2021"
,$v_{\mathrm{DHAR}}$,v_DHAR,,46,Saadat2021
,$v_{\mathrm{3ASC}}$,v_3ASC,,47,Saadat2021
Enzyme Activation,$v_{\mathrm{Eact}}$,v_Eact,,48,Saadat2021
Enzyme inactivation,$v_{\mathrm{Einact}}$,v_Einact,,49,Saadat2021
Rate of PRG5,$v_\mathrm{PRG5}$,v_PGR,,50,Li2021
Rate of main voltage-gated chloride channel (VCCN1),$v_\mathrm{VCCN1}$,v_VCCN1,,51,Li2021
Rate of ClCe,$v_\mathrm{ClCe}$,v_ClCe,,52,Li2021
Rate of K+/H+ anitporter KEA3,$v_\mathrm{KEA3}$,v_KEA3,,53,Li2021
Rate of voltage-gated K+ channel,$v_\mathrm{VKC}$,v_VKC,,54,Li2021
Number of charge seperations in PSII per second,$\mathrm{PSII_{ChSep}}$,vPSII_ChSep,,55,Li2021
Rate of PSII recombination,$v_\mathrm{PSII|recomb}$,vPSII_recomb,,56,Li2021
Number of charge seperations in PSII per second,$\mathrm{PSI_{ChSep}}$,PSI_ChSep,,57,Li2021
Rate of PC oxidiation by PSI,$v_\mathrm{PSI|PCoxid}$,v_PSI_PCoxid,,58,Li2021
The rate for a simplified Calvin-Benson Cycle,$v_\mathrm{CBB}$,v_CBB,,59,Li2021
